srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,label,type
3232235908,3758096517,58,8643,UDP,1556260862593932.0,1.2410175872633036,2,230,1.0,normal
3232236014,3232235869,28663,8417,TCP,1556268421868098.0,1.5820048053606448,1,120,0.0,ddos
3232235791,3232235994,51057,445,TCP,1556316119087826.0,1.462652568272786,1,624,1.0,normal
3232235999,3232235911,41344,53,UDP,1556256999114557.0,1.018355206372462,-1,220,0.0,xss
3232235873,3232235913,40103,53,TCP,1556208630646498.0,0.7304818984739858,6,858,1.0,ransomware
3232235778,3232235834,57897,83,UDP,1556436190158271.0,0.4782534867027288,-1,100,1.0,normal
3232235793,3232236005,37236,49958,TCP,1556266202839922.0,2.4519408785227602e-05,1,62,1.0,password
3232236025,3232235986,49817,53,UDP,1556338671967381.0,1.6199758467645289,15,3537,0.0,ransomware
3232235895,3232236022,39524,21,UDP,1554275629482345.0,0.004844745818102517,-1,176,0.0,dos
3232235942,3232235969,57506,443,UDP,1554207761874243.0,1.923315766318894,0,12,0.0,normal
3232236003,4026531781,50647,80,TCP,1556294228898844.0,0.05435583123873022,7,19,1.0,normal
3232235947,3232236010,55854,9772,TCP,1556267808543782.0,0.0010356016020455455,5,16,0.0,mitm
3232235954,3232235946,55969,53,UDP,1556376652012758.0,1.6359992756004904,2,3,0.0,normal
3232235858,4026531799,63125,15731,UDP,1556347587011504.0,1.99252827087953,2,50,0.0,ddos
3232235977,3758096384,59389,53,UDP,1556268997043159.0,0.028651618253159934,2,170,0.0,normal
3232235956,3355643367,44904,2433,TCP,1554213751035432.0,4.967930132908643e-05,0,174,0.0,injection
3232235788,3232235936,43166,15697,UDP,1556425655552817.0,1.3320403773547982,-1,109,0.0,ddos
3232235791,3232235884,49592,53,UDP,1556449288813903.0,4.263632858526532e-05,0,1017,1.0,injection
3232235833,3758096580,59835,8931,TCP,1556443128183822.0,1.1122865192409042,0,31,0.0,normal
3232235955,3232235784,44738,53,TCP,1556264394279970.0,0.2678254513093453,1,357,1.0,normal
3232235897,314747184,41554,80,UDP,1556442077249144.0,0.5568269374243418,-1,59,0.0,xss
3232235966,3758096576,37817,53,TCP,1554203773673609.0,1.8206572476444949,0,500,0.0,ransomware
3232235910,251724826,48946,80,TCP,1556130753464007.0,0.024841872014096426,-1,801,1.0,injection
3232235884,3232236004,3626,57423,UDP,1556177143884273.0,0.0009819763140066632,3,40859,1.0,ddos
3232235792,3232235905,38185,80,UDP,1556447795059108.0,0.00020824491726471889,4,6583,0.0,password
3232235799,3758096397,47355,7765,UDP,1556263252310118.0,4.67690730082408,-1,90,1.0,normal
3232235800,3232235947,36047,53,TCP,1556294336071182.0,0.005181249178574409,1,10561,0.0,normal
3232235944,3232235919,49114,80,TCP,1556297883171925.0,0.13405074999925282,-1,9,1.0,backdoor
3232235882,876327373,50103,137,UDP,1556347208590925.0,0.0006057583403727721,-1,496,1.0,dos
3232235837,3758096576,46944,42002,TCP,1554237933959521.0,1.4371592853264197,26,1865,0.0,dos
3232235915,3232235982,43943,80,TCP,1554271849596827.0,0.39673272647157876,3,125,0.0,normal
3232235947,3232235985,66,15625,TCP,1554293674147226.0,1.8371278230239292,6,90,0.0,backdoor
3232236012,3232235820,43812,443,TCP,1556375382535836.0,4.19755136688972e-05,1,26,0.0,ddos
3232235879,3232235875,48244,4787,UDP,1554288835868584.0,1.3371071157559644,1,174,0.0,normal
3232235833,3232235888,40453,53,UDP,1554257669674259.0,1.3551496178832558,4,619,1.0,normal
3232235915,3232236013,51583,43,TCP,1556295372034768.0,1.269856115817487,0,239,0.0,dos
3232236005,3232235850,44175,43,TCP,1556203532913546.0,1.9483888062753394,-1,781,0.0,scanning
3232235888,3232235868,50082,15127,TCP,1556428392620020.0,0.0007554027710272294,-1,93,1.0,normal
3232235982,3232235793,55338,80,UDP,1556433393756483.0,1.8503166112876062,0,86,1.0,normal
3232236012,265535596,60970,53,UDP,1556420951317344.0,1.7964753535984759,2,2750,1.0,normal
3232235990,3232235962,54067,40,TCP,1556368969277412.0,0.3635105239294936,25,155,0.0,injection
3232235892,3232236015,36315,53,UDP,1556172688060413.0,1.782287547560503,0,56,1.0,ddos
3232235784,3232235873,50160,15176,TCP,1554297763689667.0,4.609618829131577,1,119,0.0,backdoor
3232235799,3232235905,53852,53,TCP,1556134703182746.0,0.028916381622217845,1,13,0.0,normal
3232236025,3232235900,5828,80,TCP,1556021021981678.0,0.001773060113340514,-1,97,0.0,injection
3232235910,3232235827,53631,15593,TCP,1556342826647773.0,1.3662588230757784,0,214,1.0,scanning
3232235964,3232235897,55203,80,TCP,1556208980810466.0,0.0004265416134150577,6,302,0.0,normal
3232235927,3232236011,37821,445,UDP,1556258504927379.0,70.81521541440941,-1,422,0.0,backdoor
3232236011,225117254,56188,5176,UDP,1556293189431230.0,1.5824380430776825,3,6332,1.0,backdoor
3232236002,3238005072,49336,53,UDP,1556366986165875.0,0.030361497816105573,2,275,0.0,password
3232235852,3232235825,44269,80,TCP,1556179261456231.0,0.0004606157166509591,2,490,1.0,normal
3232235929,3232235803,56237,53,TCP,1554288555989106.0,1.8763758857857096,2,51,1.0,normal
3232235833,3232236018,38,87,UDP,1556341358850222.0,1.51926531540755,1,226,1.0,normal
3232235871,3232235936,56837,80,UDP,1556308217360436.0,1.3617692204843888,3,176,1.0,normal
3232235997,4026531732,63099,80,TCP,1556298248372327.0,0.053324025649943645,1,59,0.0,backdoor
3232235911,3232235777,44697,15259,TCP,1556360289664199.0,0.03839263991424107,6,3127,1.0,normal
3232235849,3232235896,49300,51573,UDP,1556333794915883.0,1.7794755281882217,2,61,1.0,normal
3232235990,3232235813,46071,15082,UDP,1556134805532117.0,0.0011480700142657116,22,417,1.0,injection
3232235874,3232235990,34434,445,UDP,1556441020000139.0,0.01487266861554099,-1,152,0.0,normal
3232235781,3232235904,58305,80,UDP,1556267881380754.0,1.1549480061389028,2,387,0.0,scanning
3232235873,3232235995,53743,62211,UDP,1556259275678775.0,7.0251071374373195e-06,9,389,1.0,xss
3232235921,3232235786,42597,53,UDP,1554328647648230.0,2.705482505535802,0,512,1.0,normal
3232236026,876327251,59,20,TCP,1556297940610952.0,1.9771876491846805,-1,127574,1.0,password
3232235876,3232235823,50244,9055,TCP,1556297578549237.0,8.39530349970787e-05,1,89,1.0,normal
3232235810,3232235986,54493,53,TCP,1556293586980288.0,0.39103105185606896,24,628,1.0,password
3232235805,3232235922,50111,15245,TCP,1556268968507944.0,1.0274433160753813,-1,53,0.0,ddos
3232235822,3232235787,53527,8958,UDP,1556331251386265.0,0.04151858469198148,0,210,0.0,normal
3232235909,3232235855,39261,53,UDP,1556443581458551.0,0.019491017218273003,-1,34,1.0,dos
3232235945,225117323,62600,5980,UDP,1554271903305290.0,1.162772085915969,13,2154,1.0,normal
3232235879,3221233916,35408,15249,UDP,1556022224408478.0,1.5299306959578658,1,391,0.0,normal
3232235918,3232235873,51490,80,TCP,1554280767993265.0,2.1678725054720752e-05,-1,2994,1.0,normal
3232235833,3232235874,49328,80,TCP,1556254190060009.0,0.00040737039153177754,1,21820,1.0,password
3232235920,3232235821,49541,15779,UDP,1556358603842223.0,1.5545352073737284,1,163,0.0,injection
3232235808,3232235789,53331,53,TCP,1556203406224786.0,0.016528109232248088,0,168,1.0,normal
3232235850,3232235882,51440,80,UDP,1556428384635527.0,1.165641248229826,91,136,1.0,injection
3232235903,3232235997,62664,9812,TCP,1554235494525795.0,1.638041572180127,1,479,1.0,normal
3232235871,3232235954,50635,80,UDP,1556133923280893.0,19.554843335444204,2,135,0.0,normal
3232235821,3232235929,58343,53,TCP,1554282397423749.0,1.6349831187229658,6,10,0.0,backdoor
3232235894,3758096628,4130,80,TCP,1556264993088939.0,0.4056652873886316,0,294,1.0,normal
3232235996,3221554704,52655,80,TCP,1556347933316285.0,7.794622107255516,4,16,0.0,normal
3232235934,3232235850,41997,15171,UDP,1554292693653510.0,0.0561076276124729,-1,7222,0.0,xss
3232235861,3232235779,39265,80,UDP,1554292218757380.0,4.164864423733357e-05,-1,10050,1.0,normal
3232235999,3232235870,53565,80,TCP,1554316573189206.0,1.060921309717462,2,63,1.0,normal
3232235841,3232235891,42509,53,UDP,1556252167931554.0,0.5919000025879895,2,91,0.0,normal
3232235801,3232235918,53189,9377,TCP,1556264305630883.0,0.0018064895989592582,3,76,0.0,normal
3232235937,3399407239,50616,15613,UDP,1556131824942674.0,1.319906208075902,0,1064,1.0,normal
3232235897,876327293,49725,41734,UDP,1556268414985785.0,1.8697713959197277,1,81,1.0,normal
3232235932,887476182,46582,42,TCP,1556434429469187.0,0.0001457509877699819,2,53,1.0,scanning
3232235796,3232235901,49819,53,UDP,1556262430123468.0,1.0777781544973956e-05,0,2036,0.0,normal
3232235848,3232235776,40403,64558,UDP,1556347464308445.0,1.3609636732401669,1,507,0.0,normal
3232235843,3232235893,53427,53,TCP,1556204227685231.0,9.085263903780659,0,3559,1.0,injection
3232235997,3232235941,123,53,UDP,1556022405185645.0,4.639688898027008e-05,2,3132,0.0,xss
3232235949,3232235855,39712,80,TCP,1554301045458689.0,1.9395445455810534,5,221,0.0,ransomware
3232235806,3232235966,48609,80,TCP,1556342953030763.0,1.2028881503887783,1,6410,1.0,normal
3232236001,3232235949,49272,6833,UDP,1556447197041497.0,1.5069076275683646,2,167,1.0,ddos
3232235823,4026531631,49054,80,UDP,1556335772971493.0,5.960944330430034e-06,48,31814,1.0,normal
3232235963,3232236011,35489,53,UDP,1556027575836750.0,0.2657059792706501,19,538,1.0,normal
3232235941,3232235886,66,53,TCP,1556449726877653.0,0.02240869971381275,1,48,1.0,ransomware
3232235966,3232235966,41189,53,TCP,1556303264752645.0,7.71770886925392,0,2920,1.0,normal
3232236031,3232235861,56584,80,UDP,1556171113811724.0,1.265537955091081,0,8019,0.0,injection
3232236026,3232235788,54054,53,UDP,1556360558622309.0,0.019092412114243403,2,59035,1.0,backdoor
3232236013,3293564985,47887,7042,TCP,1556024840251614.0,1.083641972760364,0,492,0.0,xss
3232235927,3426605058,49493,15358,TCP,1556425159911729.0,2.852756005076913e-05,-1,41,0.0,normal
3232235816,3232235825,61,80,TCP,1556253425229399.0,0.017092993521888596,-1,102,1.0,normal
3232235978,3232236008,59795,53,TCP,1556204132516605.0,0.023572803310675378,0,2140,0.0,normal
3232235925,3232235825,13408,8854,TCP,1556368945202280.0,2.9952634541439833e-05,1,66,1.0,normal
3232235986,3232235857,53366,445,TCP,1556206871592289.0,1.4388717984695547,0,242,0.0,password
3232235883,3318786633,49307,53,UDP,1554205864882241.0,0.00012652652191341295,2,99,0.0,normal
3232235838,3232235952,50665,53,UDP,1556023446250826.0,0.0009138332112972638,-1,68,0.0,normal
3232235865,3495166167,52780,53,UDP,1556294006791822.0,1.6857037323191606,1,128,0.0,normal
3232235905,3758096586,46975,87,TCP,1556205534490796.0,1.7859287189628115,28,4227,1.0,injection
3232236003,3232235901,42215,41513,UDP,1556349455762899.0,0.00046679074448136384,6,7926,0.0,normal
3232235912,3232235783,48300,9601,UDP,1556331254722635.0,0.17397342090156048,4,50,0.0,normal
3232235990,3223391785,34592,5483,UDP,1556358735417057.0,0.00197368550954919,-1,145,0.0,injection
3232235926,3232235959,48684,9996,TCP,1556301884309954.0,0.044300553036954946,-1,1519,0.0,password
3232235914,3232235993,25419,8247,UDP,1554280248793192.0,0.9160670895703802,0,122,1.0,normal
3232235805,3232235938,55664,53,TCP,1556294020908446.0,1.9396747175504483,0,80,1.0,backdoor
3232235816,3232235898,35507,53,UDP,1556264454202529.0,0.2612498770842949,0,77,0.0,normal
3232236025,3232235916,10008,80,TCP,1556255749157066.0,0.02603541828864677,-1,101,1.0,ransomware
3232235843,3232235915,62054,53,TCP,1556326646155279.0,1.632758671360476,-1,168,0.0,normal
3232236027,3232235851,18850,53,TCP,1556261580142519.0,1.4233549167854234,2,965,0.0,normal
3232235834,3232236013,57479,80,UDP,1556262827694247.0,0.0008601381750452903,2,211,0.0,dos
3232235859,3232235907,59038,443,UDP,1556336309171082.0,1.5864708764799806,0,89,0.0,normal
3232235812,3232235940,33214,80,TCP,1556298964182312.0,0.9694599753972689,4,42,1.0,ddos
3232235971,3232235873,57096,15400,UDP,1556139299237562.0,8.29355669517443,1,110,0.0,ddos
3232235985,3232235799,58016,445,TCP,1556204404229296.0,0.001719729927152872,3,41,0.0,normal
3232235803,3232235970,49745,80,TCP,1556262971313873.0,0.018049327374996676,11,158,1.0,normal
