srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,label,type
58339806,3232235885,1363,52518,TCP,1554201178709164.0,222699.35251043766,8905,113722572,0,normal
3232235811,3232235978,47804,15934,UDP,1554201395283965.0,1.237546580409843,1,124,0,normal
3232235890,3232235893,33890,15225,UDP,1554208059440708.0,1.5246614374270093,0,70,0,normal
3232235952,3232235999,37547,15627,UDP,1554207873897278.0,1.9191918330230404,0,90,0,normal
3232235929,3232235841,41100,15700,UDP,1554206029632940.0,1.5231894061660698,0,119,0,normal
3232235810,3232236021,52067,53,UDP,1554205140332807.0,0.0014197898546178763,-1,1437,0,normal
3232235974,3232236022,58345,15787,UDP,1554208826338205.0,1.9478841973526504,-1,19,0,normal
3232235856,2899945314,36264,443,TCP,1554205587177006.0,0.06173725524939957,3,445,0,normal
3232235932,3232235922,47943,53,UDP,1554201696746746.0,0.0007647966268076547,-1,1467,0,normal
3232235930,3232235805,60082,15587,UDP,1554206559614551.0,1.5351992924520594,-1,111,0,normal
3232235808,3627730828,43814,443,TCP,1554205718992675.0,0.03732343602820751,7,100,0,normal
3232235934,3232235803,53341,15159,UDP,1554208957655487.0,1.7534951662369949,-1,52,0,normal
3232235843,3232236024,35495,15506,UDP,1554201516576200.0,1.8361481556094552,0,122,0,normal
3232235925,3232235849,47943,53,UDP,1554201892210611.0,0.0006847636488951405,0,437,0,normal
3232235898,3232235999,40224,15177,UDP,1554208277637280.0,1.186811902724505,0,121,0,normal
3232235846,3232235996,51975,53,UDP,1554200091983896.0,0.0010585951908576546,0,421,0,normal
3232235925,3232235951,35971,15439,UDP,1554205232654914.0,1.495901416917818,0,38,0,normal
3232235903,3232235981,55425,15903,UDP,1554206298898774.0,1.8834445097154946,1,25,0,normal
3232235899,3232236012,59663,53,UDP,1554209743039313.0,0.001138866241258567,3,825,0,normal
3232235844,3232235946,56763,15409,UDP,1554202092862131.0,1.4053896649033786,-1,7,0,normal
3232236031,3232235898,47810,15438,UDP,1554201290654945.0,1.251182158521515,0,113,0,normal
3232235854,3232235923,47985,53,UDP,1554201240980286.0,0.0017388284447727716,1,813,0,normal
3232236002,3232235994,39529,15845,UDP,1554208452711590.0,1.2661707588700266,1,63,0,normal
3232235931,3232236013,47350,15813,UDP,1554209358513311.0,1.0163928669221138,0,65,0,normal
3232235982,3232235955,57220,53,UDP,1554200103147047.0,0.0016363377239062833,1,302,0,normal
3232235919,3232235931,138,138,UDP,1554206515879296.0,1.4594673750952052,1,36,0,normal
3232235913,3758096583,5239,5923,UDP,1554203003064509.0,4.105072697802729,2,1629,0,normal
3232235805,3232235992,33764,15079,UDP,1554207582411713.0,1.2931263699636593,1,93,0,normal
3232235951,3232235782,41185,53,UDP,1554202472800229.0,0.00080936890598762,1,1188,0,normal
3232235981,3232235912,35003,15265,UDP,1554208054101248.0,1.8369278363051076,0,73,0,normal
3232235957,3232236024,53996,15145,UDP,1554200077386196.0,1.4203316782356694,0,37,0,normal
3232235800,3232235927,32218,15573,UDP,1554204148494147.0,1.3190092283349883,-1,79,0,normal
3232235809,3232235908,50549,53,UDP,1554207175367036.0,0.0015710626152111596,2,1907,0,normal
3232235840,3232235822,52304,15229,UDP,1554202322286578.0,1.9998281592166451,-1,46,0,normal
3232235882,3232235796,54754,53,UDP,1554202479830854.0,0.0014609700554661376,-1,0,0,normal
3232235930,3232236013,49030,15397,UDP,1554206555738237.0,1.4471597176305404,1,64,0,normal
3232235962,3232235902,39868,15268,UDP,1554208513893903.0,1.1360168542188291,0,46,0,normal
3232235962,3758096512,5115,5346,UDP,1554203637669341.0,1.4169534309786136,1,172,0,normal
3232235863,3232235844,53067,15204,UDP,1554207553003064.0,1.4509356850950814,-1,10,0,normal
3232235946,3232235814,49754,53,UDP,1554200215287795.0,0.0013150724659491638,1,1146,0,normal
3232235906,3232235968,42667,15701,UDP,1554205177338224.0,1.7711432279996413,0,-1,0,normal
3232235944,3232235906,59301,53,UDP,1554203588579519.0,0.0014236860393691251,2,722,0,normal
3232235910,3232235961,42752,15491,UDP,1554200456645573.0,1.9207784336686324,1,69,0,normal
3232235892,3232235918,40770,15201,UDP,1554206853641732.0,1.2065497831826222,1,13,0,normal
3232235786,3232235915,60357,15548,UDP,1554207698510668.0,1.0326259364826722,0,39,0,normal
3232235849,3232236008,37185,53,UDP,1554204256409516.0,0.0016002340435195906,1,1177,0,normal
3232235802,3232235891,46694,15503,UDP,1554201216168187.0,1.5036528991583513,-1,117,0,normal
3232235790,3232235891,45571,15432,UDP,1554203250115612.0,1.5581812550760148,-1,84,0,normal
3232235911,3232235903,42761,15730,UDP,1554204606210881.0,1.546616763621783,-1,100,0,normal
3232235970,3232235797,60016,53,UDP,1554204251084537.0,0.0018886396568201643,3,1229,0,normal
3232235804,3232235897,49718,15122,UDP,1554202611957931.0,1.3733530825053164,0,14,0,normal
3232235927,3232236016,51593,15027,UDP,1554203393939202.0,1.5794470078344176,-1,41,0,normal
3232235903,3232235869,37865,53,UDP,1554208715226133.0,0.001518826677354466,2,1019,0,normal
3232235998,3232236005,42035,15568,UDP,1554200253248665.0,1.9307440441034114,0,31,0,normal
3232235961,3758096439,5729,5341,UDP,1554207500846973.0,1.4751943643472953,0,239,0,normal
3232235962,3232235857,37783,15336,UDP,1554207676373057.0,1.9833110148869137,-1,75,0,normal
3232235887,3232236019,39966,15885,UDP,1554209365025020.0,1.8712496969175314,0,125,0,normal
3232236023,3232235809,60096,53,UDP,1554208549462320.0,0.0006787933800643987,2,747,0,normal
3232235965,3232235841,40992,15769,UDP,1554208808785155.0,1.6507558762609515,0,32,0,normal
3232235844,3232235891,39286,15880,UDP,1554201580095890.0,1.0811411202510643,0,105,0,normal
